FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU0(M Cycles),CPU1(M Cycles),CPU2(M Cycles),CPU3(M Cycles),CPU4(M Cycles),CPU5(M Cycles),CPU6(M Cycles),CPU7(M Cycles),CPU(℃),DDR(Mbps),GPU(%),GPU(KHz),Battery(%),Battery(℃),Current(mA),Battery(volt),Power(mW)
0,0,0,0.00,35.3,54.0,44.0,32.0,27.0,35.0,38.0,29.0,23.0,2918,2918,2918,2918,2918,2918,2438,2438,0,0,0,0,0,0,0,0,59.70,6389,14.00,222,56,33.70,1978,3.888,7690
0,0,0,0.00,24.0,16.0,18.0,4.0,12.0,29.0,11.0,28.0,74.0,1152,1152,1152,1152,1152,1152,2438,2438,452,533,208,378,809,439,855,1650,55.00,7380,0.00,222,56,33.70,3169,3.888,12321
0,0,0,0.00,10.0,26.0,8.0,0.0,0.0,15.0,8.0,0.0,23.0,556,556,556,556,556,556,1017,1017,233,89,5,5,152,82,1,548,45.70,2710,0.00,222,56,33.70,1070,3.883,4154
0,0,0,0.00,13.5,43.0,23.0,2.0,3.0,18.0,19.0,0.0,0.0,1363,1363,1363,1363,1363,1363,1017,1017,331,209,16,13,175,167,0,0,45.30,3418,0.00,222,56,33.70,230,3.883,893
0,0,0,0.00,7.4,27.0,9.0,0.0,0.0,13.0,10.0,0.0,0.0,960,960,960,960,960,960,1017,1017,236,117,21,3,187,104,0,0,44.20,1094,0.00,222,56,33.70,290,3.883,1126
0,0,0,0.00,8.0,28.0,11.0,1.0,0.0,18.0,6.0,0.0,0.0,748,748,748,748,748,748,1017,1017,211,89,7,8,161,67,8,5,42.60,3418,0.00,222,56,33.70,214,3.883,830
0,0,0,0.00,7.3,28.0,11.0,1.0,2.0,6.0,10.0,0.0,0.0,556,556,556,556,556,556,1017,1017,198,165,12,21,82,145,0,0,41.50,1094,0.00,222,56,33.70,232,3.9,904
0,0,0,0.00,9.1,29.0,12.0,1.0,7.0,13.0,11.0,0.0,0.0,556,556,556,556,556,556,1017,1017,193,89,20,45,90,59,0,0,41.50,1094,0.00,222,56,33.70,186,3.9,725
0,0,0,0.00,11.6,35.0,24.0,3.0,2.0,17.0,12.0,0.0,0.0,748,748,748,748,748,748,1017,1017,237,171,12,19,102,89,0,0,41.50,3418,0.00,222,56,33.70,221,3.9,861
0,0,0,0.00,7.9,30.0,11.0,0.0,1.0,11.0,10.0,0.0,0.0,1152,1152,1152,1152,1152,1152,1017,1017,220,139,2,4,104,116,0,0,41.50,3418,0.00,222,56,33.70,229,3.9,893
0,0,0,0.00,7.6,27.0,9.0,0.0,1.0,10.0,14.0,0.0,0.0,556,556,556,556,556,556,1017,1017,247,90,15,15,115,143,0,0,40.70,1094,0.00,222,56,33.70,255,3.9,994
0,0,0,0.00,5.3,24.0,9.0,0.0,0.0,4.0,5.0,0.0,0.0,556,556,556,556,556,556,1017,1017,178,128,2,2,35,35,0,0,40.30,5479,0.00,222,56,33.70,297,3.9,1158
0,0,0,0.00,5.3,25.0,8.0,0.0,0.0,6.0,3.0,0.0,0.0,556,556,556,556,556,556,1017,1017,164,47,1,2,34,30,0,0,39.90,1094,0.00,222,56,33.70,261,3.9,1017
0,0,0,0.00,5.9,29.0,7.0,0.0,0.0,6.0,5.0,0.0,0.0,556,556,556,556,556,556,1017,1017,181,52,1,1,36,37,0,0,39.90,2710,0.00,222,56,33.70,253,3.9,986
0,0,0,0.00,6.8,30.0,9.0,1.0,1.0,5.0,8.0,0.0,0.0,2400,2400,2400,2400,2400,2400,1017,1017,186,77,3,3,67,73,0,0,41.80,3418,0.00,222,56,33.70,221,3.902,862
0,0,0,0.00,8.3,27.0,12.0,2.0,1.0,10.0,14.0,0.0,0.0,556,556,556,556,556,556,1017,1017,230,145,41,33,122,208,0,0,39.90,3418,0.00,222,56,33.70,221,3.902,862
0,0,0,0.00,6.8,28.0,8.0,1.0,1.0,7.0,5.0,3.0,1.0,748,748,748,748,748,748,1017,1017,211,69,24,16,58,66,78,14,39.90,2710,0.00,222,56,33.70,239,3.902,932